状态	问题	答案
启用	咏鹅	鹅，鹅，鹅，曲项向天歌。白毛浮绿水，红掌拨清波。
启用	咏柳	碧玉妆成一树高，万条垂下绿丝绦。不知细叶谁裁出，二月春风似剪刀。
启用	登鹳雀楼	白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
启用	春晓	春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。
启用	鹿寨	空山不见人，但闻人语响。返景入深林，复照青苔上。
启用	送元二使安西 渭城朝雨浥轻尘，客舍青青柳色新。劝君更尽一杯酒，西出阳关无故人。
启用	九月九日忆山东兄弟 独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。
启用	静夜思 床前明月光，疑是地上霜。举头望明月，低头思故乡。
启用	赠汪伦 李白乘舟将欲行，忽闻岸上踏歌声。桃花潭水深千尺，不及汪伦送我情。
启用	望庐山瀑布 日照香炉生紫烟，遥看瀑布挂前川。飞流直下三千尺，疑是银河落九天。
启用	黄鹤楼送孟浩然之广陵 故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。
启用	早发白帝城 朝辞白帝彩云间，千里江陵一日还。两岸猿声啼不住，轻舟已过万重山。
启用	江南 江南可采莲，莲叶何田田。鱼戏莲叶间。鱼戏莲叶东，鱼戏莲叶西，鱼戏莲叶南，鱼戏莲叶北。
启用	风 解落三秋叶，能开二月花。过江千尺浪，入竹万竿斜。
启用	长歌行 青青园中葵，朝露待日曦。阳春布德泽，万物生光辉。常恐秋节至，焜黄华叶衰。百川东到海，何时复西归？少壮不努力，老大徒伤悲。
启用	敕勒歌 敕勒川，阴山下。天似穹庐，笼盖四野。天苍苍，野茫茫，风吹草低见牛羊。
启用	回乡偶书 小时不识月，呼作白玉盘。又疑瑶台镜，飞在青云端。仙人垂两足，桂树何团团。玉兔捣药馋，问言与谁餐。
启用	望天门山 天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。
启用  绝句 请问是其一还是其二，如果是其一的话请说：“绝句（其一）”
启用	绝句（其一） 两个黄鹂鸣翠柳，一行白鹭上青天。窗含西岭千秋雪，门泊东吴万里船。
启用	春夜喜雨 好雨知时节，当春乃发生。随风潜入夜，润物细无声。野径云俱黑，江船火独明。晓看红湿处，花重锦官城。
启用	别董大 千里黄云白日曛，北风吹雁雪纷纷。莫愁前路无知己，天下谁人不识君。
启用	绝句（其二） 迟日江山丽，春风花草香。泥融飞燕子，沙暖睡鸳鸯。
启用	江畔独步寻花 黄四娘家花满蹊，千朵万朵压枝低。留连戏蝶时时舞，自在娇莺恰恰啼。
启用	枫桥夜泊 月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。
启用	滁州西涧 独怜幽草涧边生，上有黄鹂深树鸣。春潮带雨晚来急，野渡无人舟自横。
启用	游子吟 慈母手中线，游子身上衣。临行密密缝，意恐迟迟归。谁言寸草心，报得三春晖？
启用	早春呈水部张十八员外 天街小雨润如酥，草色遥看近却无。最是一年春好处，绝胜烟柳满皇都。
启用	渔歌子 西塞山前白鹭飞，桃花流水鳜鱼肥。青箬笠，绿蓑衣，斜风细雨不须归。
启用	塞下曲 月黑雁飞高，单于夜遁逃。欲将轻骑逐，大雪满弓刀。
启用	望洞庭 湖光秋月两相和，潭面无风镜未磨。遥望洞庭山水翠，白银盘里一青螺。
启用	浪淘沙 九曲黄河万里沙，浪淘风簸自天涯。如今直上银河去，同到牵牛织女家。
启用	赋得古原草送别 离离原上草，一岁一枯荣。野火烧不尽，春风吹又生。远芳侵古道，晴翠接荒城。又送王孙去，凄凄满别情。
启用	池上 小娃撑小艇，偷采白莲回。不解藏踪迹，浮萍一道开。
启用	忆江南 江南好，风景旧曾谙。日出江花红胜火，春来江水绿如蓝。能不忆江南？
启用	小儿垂钓 蓬头稚子学垂钓，侧坐莓苔草映身。路人借问遥招手，怕得鱼惊不应人。
启用  悯农 请问是其一还是其二，如果是其一的话请说：“悯农·其一”
启用	悯农·其一 锄禾日当午，汗滴禾下土。谁知盘中餐，粒粒皆辛苦。
启用	悯农·其二 春种一粒粟，秋收万颗子。四海无闲田，农夫犹饿死。
启用	江雪 千山鸟飞绝，万径人踪灭。孤舟蓑笠翁，独钓寒江雪。
启用	寻隐者不遇 松下问童子，言师采药去。只在此山中，云深不知处。
启用	江南春 千里莺啼绿映红，水村山郭酒旗风。南朝四百八十寺，多少楼台烟雨中。
启用	山行 远上寒山石径斜，白云生处有人家。停车坐爱枫林晚，霜叶红于二月花。
启用	清明 清明时节雨纷纷，路上行人欲断魂。借问酒家何处有，牧童遥指杏花村。
启用	蜂 不论平地与山尖，无限风光尽被占。采得百花成蜜后，为谁辛苦为谁甜？
启用	江上渔者 江上往来人，但爱鲈鱼美。君看一叶舟，出没风波里。
启用	元日 爆竹声中一岁除，春风送暖入屠苏。千门万户曈曈日，总把新桃换旧符。
启用	书湖阴先生壁 茅檐长扫净无苔，花木成畦手自栽。一水护田将绿绕，两山排闼送青来。
启用	泊船瓜洲 京口瓜洲一水间，钟山只隔数重山。春风又绿江南岸，明月何时照我还？
启用	六月二十七日望湖楼醉书 黑云翻墨未遮山，白雨跳珠乱入船。卷地风来忽吹散，望湖楼下水如天。
启用	饮湖上初晴后雨 水光潋滟晴方好，山色空蒙雨亦奇。欲把西湖比西子，淡妆浓抹总相宜。
启用	惠崇春江晚景 竹外桃花三两枝，春江水暖鸭先知。蒌蒿满地芦芽短，正是河豚欲上时。
启用	题西林壁 横看成岭侧成峰，远近高低各不同。不识庐山真面目，只缘身在此山中。
启用	夏日绝句 生当作人杰，死亦为鬼雄。至今思项羽，不肯过江东。
启用	三衢道中 梅子黄时日日晴，小溪泛尽却山行。绿荫不减来时路，添得黄鹂四五声。
启用	示儿 死去元知万事空，但悲不见九州同。王师北定中原日，家祭无忘告乃翁。
启用	秋夜将晓出篱门迎凉有感 三万里河东入海，五千仞岳上摩天。遗民泪尽胡尘里，南望王师又一年。
启用	四时田园杂兴·其一 昼出耘田夜绩麻，村庄儿女各当家。童孙未解供耕织，也傍桑阴学种瓜。
启用	四时田园杂兴·其二 梅子金黄杏子肥，麦花雪白菜花稀。日长篱落无人过，惟有蜻蜓蛱蝶飞。
启用	小池 泉眼无声惜细流，树阴照水爱晴柔。小荷才露尖尖角，早有蜻蜓立上头。
启用	晓出净慈寺送林子方 毕竟西湖六月中，风光不与四时同。接天莲叶无穷碧，映日荷花别样红。
启用	春日 胜日寻芳泗水滨，无边光景一时新。等闲识得东风面，万紫千红总是春。
